Site	Type	Left	Right	Strand	Transcription-Units
ftsXp4	BOX_35	3602284	3602290	-	NA
rsmDp2	BOX_10	3604287	3604291	+	NA
rsmDp2	BOX_35	3604273	3604278	+	NA
rsmDp2	BOX_10	3604287	3604291	+	NA
rsmDp2	BOX_35	3604273	3604278	+	NA
rsmDp11	BOX_10	3604303	3604310	+	NA
rsmDp11	BOX_35	3604283	3604288	+	NA
rsmDp1	BOX_10	3604340	3604346	+	NA
rsmDp1	BOX_35	3604316	3604322	+	NA
yhhNp4	BOX_10	3605563	3605568	+	NA
yhhNp4	BOX_35	3605536	3605541	+	NA
yhhMp4	BOX_10	3605641	3605646	-	NA
yhhMp4	BOX_35	3605665	3605670	-	NA
yhhNp6	BOX_10	3605688	3605693	+	NA
yhhNp6	BOX_35	3605664	3605669	+	NA
yhhMp1	BOX_10	3605800	3605804	-	NA
yhhMp1	BOX_35	3605814	3605819	-	NA
zntAp	BOX_10	3606410	3606415	+	NA
zntAp	BOX_35	3606384	3606389	+	NA
tusAp7	BOX_10	3609027	3609032	-	NA
tusAp7	BOX_35	3609049	3609054	-	NA
yhhQp5	BOX_10	3609108	3609113	+	NA
yhhQp5	BOX_35	3609086	3609091	+	NA
dcrBp1	BOX_10	3609756	3609762	+	NA
dcrBp1	BOX_35	3609732	3609738	+	NA
dcrBp2	BOX_10	3609768	3609774	+	NA
dcrBp2	BOX_35	3609744	3609750	+	NA
dcrBp8	BOX_10	3609900	3609907	+	NA
dcrBp8	BOX_35	3609879	3609884	+	NA
dcrBp6	BOX_10	3609920	3609925	+	NA
dcrBp6	BOX_35	3609898	3609904	+	NA
yhhTp4	BOX_10	3611829	3611836	+	NA
nikAp2	BOX_10	3613422	3613426	+	NA
nikAp2	BOX_35	3613410	3613415	+	NA
rhsBp11	BOX_10	3618993	3618998	+	NA
rhsBp11	BOX_35	3618972	3618977	+	NA
rhsBp9	BOX_10	3619033	3619039	+	NA
rhsBp9	BOX_35	3619011	3619017	+	NA
rhsBp3	BOX_10	3619062	3619068	+	NA
rhsBp3	BOX_35	3619036	3619042	+	NA
rhsBp12	BOX_10	3619086	3619092	+	NA
rhsBp12	BOX_35	3619066	3619072	+	NA
rhsBp10	BOX_10	3619102	3619107	+	NA
rhsBp10	BOX_35	3619079	3619084	+	NA
rhsBp8	BOX_10	3619167	3619172	+	NA
rhsBp8	BOX_35	3619145	3619150	+	NA
yhhIp6	BOX_10	3624162	3624167	+	NA
yhhIp6	BOX_35	3624135	3624140	+	NA
yhhJp3	BOX_10	3626855	3626860	-	NA
yhhJp3	BOX_35	3626874	3626880	-	NA
yhiJp6	BOX_10	3632601	3632606	-	NA
yhiJp6	BOX_35	3632626	3632631	-	NA
yhiMp10	BOX_10	3634622	3634629	+	NA
yhiMp10	BOX_35	3634601	3634606	+	NA
yhiMp	BOX_10	3634725	3634735	+	NA
yhiMp	BOX_35	3634705	3634710	+	NA
yhiMp9	BOX_10	3634772	3634777	+	NA
yhiMp9	BOX_35	3634748	3634753	+	NA
yhiMp11	BOX_10	3634806	3634812	+	NA
yhiMp11	BOX_35	3634785	3634791	+	NA
yhiNp6	BOX_10	3637505	3637510	-	NA
yhiNp6	BOX_35	3637530	3637535	-	NA
uspBp	BOX_10	3639853	3639863	-	NA
uspBp	BOX_35	3639878	3639883	-	NA
uspAp1	BOX_10	3639970	3639975	+	NA
uspAp1	BOX_35	3639949	3639954	+	NA
prlCp	BOX_10	3645248	3645253	-	NA
prlCp	BOX_35	3645268	3645273	-	NA
gorp2	BOX_10	3646101	3646106	+	NA
gorp2	BOX_35	3646076	3646081	+	NA
gorp	BOX_10	3646101	3646106	+	NA
gorp	BOX_35	3646076	3646081	+	NA
dinQp	BOX_10	3647988	3647993	-	NA
dinQp	BOX_35	3648011	3648017	-	NA
agrAp	BOX_10	3648050	3648055	+	NA
agrAp	BOX_35	3648027	3648032	+	NA
agrBp	BOX_10	3648281	3648286	+	NA
agrBp	BOX_35	3648258	3648263	+	NA
arsRp	BOX_10	3648498	3648503	+	NA
arsRp	BOX_35	3648475	3648480	+	NA
insHp3	BOX_10	3653273	3653278	-	NA
insHp3	BOX_35	3653299	3653304	-	NA
insHp4	BOX_10	3653275	3653280	-	NA
insHp4	BOX_35	3653299	3653304	-	NA
slpp	BOX_10	3653924	3653929	+	NA
slpp	BOX_35	3653902	3653907	+	NA
yhiDp8	BOX_10	3656045	3656050	-	NA
yhiDp8	BOX_35	3656070	3656075	-	NA
yhiDp1	BOX_10	3656116	3656120	-	NA
yhiDp1	BOX_35	3656130	3656135	-	NA
hdeAp2	BOX_10	3656796	3656803	-	NA
hdeAp2	BOX_35	3656821	3656825	-	NA
hdeAp	BOX_10	3656798	3656803	-	NA
hdeAp	BOX_35	3656821	3656826	-	NA
hdeDp	BOX_10	3656948	3656953	+	NA
hdeDp	BOX_35	3656927	3656932	+	NA
gadEp3	BOX_10	3657788	3657793	+	NA
gadEp3	BOX_35	3657761	3657766	+	NA
gadEp4	BOX_10	3658052	3658057	+	NA
gadEp4	BOX_35	3658027	3658032	+	NA
arrSp	BOX_10	3658055	3658060	-	NA
arrSp	BOX_35	3658079	3658084	-	NA
arrSp2	BOX_10	3658061	3658071	-	NA
arrSp2	BOX_35	3658084	3658089	-	NA
gadEp1	BOX_10	3658225	3658235	+	NA
gadEp1	BOX_35	3658208	3658213	+	NA
gadEp	BOX_10	3658334	3658344	+	NA
gadEp	BOX_35	3658318	3658323	+	NA
gadWp1	BOX_10	3664660	3664665	-	NA
gadWp1	BOX_35	3664685	3664690	-	NA
gadWp2	BOX_10	3664789	3664794	-	NA
gadWp2	BOX_35	3664812	3664817	-	NA
gadYp	BOX_10	3664847	3664857	+	NA
gadYp	BOX_35	3664829	3664834	+	NA
gadXp	BOX_10	3665849	3665859	-	NA
gadXp	BOX_35	3665871	3665876	-	NA
gadAp2	BOX_10	3667612	3667620	-	NA
gadAp2	BOX_35	3667638	3667643	-	NA
gadAp	BOX_10	3667615	3667620	-	NA
gadAp	BOX_35	3667638	3667643	-	NA
yhjAp	BOX_10	3669269	3669274	-	NA
yhjAp	BOX_35	3669295	3669300	-	NA
treFp	BOX_10	3669535	3669544	+	NA
yhjBp4	BOX_10	3672051	3672056	-	NA
yhjBp4	BOX_35	3672073	3672078	-	NA
yhjCp	BOX_10	3672119	3672123	+	NA
yhjCp	BOX_35	3672106	3672111	+	NA
yhjDp5	BOX_10	3673319	3673324	+	NA
yhjDp5	BOX_35	3673293	3673298	+	NA
yhjEp8	BOX_10	3674626	3674631	+	NA
yhjEp8	BOX_35	3674600	3674605	+	NA
yhjEp9	BOX_10	3674747	3674752	+	NA
yhjEp9	BOX_35	3674723	3674728	+	NA
yhjGp	BOX_10	3678419	3678425	-	NA
yhjHp	BOX_10	3679236	3679243	-	NA
yhjHp	BOX_35	3679258	3679262	-	NA
yhjJp	BOX_10	3682022	3682026	-	NA
yhjJp	BOX_35	3682042	3682047	-	NA
dctAp	BOX_10	3683505	3683510	-	NA
dctAp	BOX_35	3683528	3683533	-	NA
yhjKp2	BOX_10	3685654	3685659	-	NA
yhjKp2	BOX_35	3685675	3685680	-	NA
bcsBp	BOX_10	3692679	3692684	-	NA
bcsBp	BOX_35	3692706	3692711	-	NA
yhjRp12	BOX_10	3696221	3696227	-	NA
yhjRp12	BOX_35	3696242	3696248	-	NA
yhjRp10	BOX_10	3696289	3696295	-	NA
yhjRp10	BOX_35	3696315	3696321	-	NA
bcsEp8	BOX_10	3696311	3696316	+	NA
bcsEp8	BOX_35	3696290	3696295	+	NA
yhjRp5	BOX_10	3696362	3696368	-	NA
yhjRp5	BOX_35	3696387	3696393	-	NA
yhjRp11	BOX_10	3696372	3696377	-	NA
yhjRp11	BOX_35	3696395	3696400	-	NA
yhjRp	BOX_10	3696372	3696377	-	NA
yhjRp	BOX_35	3696395	3696400	-	NA
yhjRp13	BOX_10	3696380	3696386	-	NA
yhjRp13	BOX_35	3696405	3696411	-	NA
bcsEp11	BOX_10	3696385	3696390	+	NA
bcsEp11	BOX_35	3696363	3696368	+	NA
bcsEp2	BOX_10	3696430	3696435	+	NA
bcsEp2	BOX_35	3696408	3696413	+	NA
rdlDp	BOX_10	3700124	3700129	+	NA
rdlDp	BOX_35	3700101	3700106	+	NA
yhjVp3	BOX_10	3700388	3700393	+	NA
yhjVp3	BOX_35	3700365	3700371	+	NA
dppAp	BOX_10	3707876	3707881	-	NA
dppAp	BOX_35	3707901	3707906	-	NA
proKp	BOX_10	3708705	3708710	-	NA
proKp	BOX_35	3708728	3708733	-	NA
eptBp	BOX_10	3710585	3710590	-	NA
eptBp	BOX_35	3710606	3710611	-	NA
eptBp2	BOX_10	3710587	3710595	-	NA
yhjXp	BOX_10	3712052	3712057	-	NA
yhjXp	BOX_35	3712079	3712084	-	NA
yhjXp5	BOX_10	3712067	3712072	-	NA
yhjXp5	BOX_35	3712091	3712096	-	NA
yhjXp6	BOX_10	3712102	3712108	-	NA
yhjXp6	BOX_35	3712123	3712129	-	NA
yhjYp9	BOX_10	3712988	3712993	-	NA
yhjYp9	BOX_35	3713013	3713018	-	NA
yiaDp4	BOX_10	3716345	3716350	+	NA
yiaDp4	BOX_35	3716327	3716333	+	NA
bisCp4	BOX_10	3716422	3716428	-	NA
bisCp4	BOX_35	3716447	3716453	-	NA
yiaDp3	BOX_10	3716469	3716474	+	NA
yiaDp3	BOX_35	3716442	3716447	+	NA
bisCp6	BOX_10	3716490	3716495	-	NA
bisCp6	BOX_35	3716513	3716518	-	NA
bisCp3	BOX_10	3716492	3716497	-	NA
bisCp3	BOX_35	3716513	3716518	-	NA
bisCp7	BOX_10	3716519	3716524	-	NA
bisCp7	BOX_35	3716542	3716547	-	NA
ghrBp2	BOX_10	3717175	3717182	+	NA
ghrBp2	BOX_35	3717154	3717159	+	NA
yiaGp	BOX_10	3719414	3719424	+	NA
yiaGp	BOX_35	3719396	3719401	+	NA
cspAp1	BOX_10	3719876	3719881	+	NA
cspAp1	BOX_35	3719853	3719858	+	NA
cspAp2	BOX_10	3719924	3719929	+	NA
cspAp2	BOX_35	3719900	3719905	+	NA
insJp4	BOX_10	3720581	3720587	+	NA
insJp4	BOX_35	3720556	3720562	+	NA
hokAp6	BOX_10	3720815	3720821	-	NA
hokAp6	BOX_35	3720835	3720841	-	NA
insKp	BOX_10	3721058	3721062	+	NA
insKp	BOX_35	3721036	3721041	+	NA
glySp4	BOX_10	3724500	3724507	-	NA
glyQp	BOX_10	3725361	3725366	-	NA
glyQp	BOX_35	3725384	3725389	-	NA
ysaBp1	BOX_10	3725908	3725914	-	NA
ysaBp1	BOX_35	3725931	3725937	-	NA
yiaBp5	BOX_10	3727774	3727779	-	NA
yiaBp5	BOX_35	3727795	3727800	-	NA
yiaBp1	BOX_10	3727802	3727808	-	NA
yiaBp1	BOX_35	3727826	3727832	-	NA
yiaBp6	BOX_10	3727832	3727837	-	NA
yiaBp6	BOX_35	3727855	3727860	-	NA
baxp5	BOX_10	3737227	3737232	-	NA
baxp5	BOX_35	3737252	3737257	-	NA
baxp7	BOX_10	3737240	3737245	-	NA
baxp7	BOX_35	3737265	3737270	-	NA
malSp	BOX_10	3737458	3737463	+	NA
malSp	BOX_35	3737432	3737437	+	NA
plaRp	BOX_10	3742620	3742625	-	NA
plaRp	BOX_35	3742643	3742648	-	NA
yiaKp	BOX_10	3742660	3742665	+	NA
yiaKp	BOX_35	3742637	3742642	+	NA
yiaKp2	BOX_10	3742710	3742714	+	NA
yiaKp2	BOX_35	3742687	3742692	+	NA
yiaTp4	BOX_10	3751881	3751886	-	NA
yiaTp4	BOX_35	3751906	3751911	-	NA
yiaUp11	BOX_10	3751885	3751890	+	NA
yiaUp11	BOX_35	3751862	3751867	+	NA
yiaTp8	BOX_10	3751910	3751915	-	NA
yiaTp8	BOX_35	3751934	3751939	-	NA
yiaUp9	BOX_10	3751964	3751969	+	NA
yiaUp9	BOX_35	3751942	3751947	+	NA
yiaTp6	BOX_10	3751966	3751971	-	NA
yiaTp6	BOX_35	3751993	3751998	-	NA
yiaTp3	BOX_10	3751968	3751973	-	NA
yiaTp3	BOX_35	3751994	3751999	-	NA
yiaUp8	BOX_10	3751974	3751979	+	NA
yiaUp8	BOX_35	3751949	3751954	+	NA
aldBp	BOX_10	3756542	3756552	-	NA
aldBp	BOX_35	3756565	3756570	-	NA
yiaYp7	BOX_10	3757884	3757889	-	NA
yiaYp7	BOX_35	3757907	3757912	-	NA
yiaYp4	BOX_10	3757886	3757891	-	NA
yiaYp4	BOX_35	3757907	3757912	-	NA
yiaYp6	BOX_10	3757934	3757939	-	NA
yiaYp6	BOX_35	3757961	3757966	-	NA
selBp5	BOX_10	3759931	3759936	-	NA
selBp5	BOX_35	3759954	3759959	-	NA
yibGp6	BOX_10	3768052	3768058	+	NA
yibGp6	BOX_35	3768032	3768038	+	NA
mtlAp	BOX_10	3772176	3772181	+	NA
mtlAp	BOX_35	3772153	3772158	+	NA
yibTp5	BOX_10	3776426	3776431	-	NA
yibTp5	BOX_35	3776452	3776457	-	NA
yibTp7	BOX_10	3776431	3776436	-	NA
yibTp7	BOX_35	3776455	3776460	-	NA
yibLp6	BOX_10	3776585	3776590	+	NA
yibLp6	BOX_35	3776564	3776569	+	NA
lldPp	BOX_10	3777277	3777282	+	NA
lldPp	BOX_35	3777255	3777260	+	NA
gpsAp8	BOX_10	3783688	3783694	-	NA
gpsAp8	BOX_35	3783710	3783716	-	NA
gpsAp5	BOX_10	3783815	3783820	-	NA
gpsAp5	BOX_35	3783836	3783841	-	NA
secBp	BOX_10	3784208	3784213	-	NA
secBp	BOX_35	3784233	3784238	-	NA
grxCp2	BOX_10	3784581	3784586	-	NA
grxCp2	BOX_35	3784602	3784607	-	NA
yibNp7	BOX_10	3785062	3785067	-	NA
yibNp7	BOX_35	3785089	3785094	-	NA
gpmMp2	BOX_10	3785174	3785179	+	NA
yibNp	BOX_10	3785200	3785205	-	NA
yibNp	BOX_35	3785224	3785229	-	NA
yibDp1	BOX_10	3790155	3790160	-	NA
yibDp1	BOX_35	3790177	3790182	-	NA
kblp	BOX_10	3792584	3792589	-	NA
kblp	BOX_35	3792610	3792615	-	NA
yibBp8	BOX_10	3793734	3793739	-	NA
yibBp8	BOX_35	3793757	3793762	-	NA
yibBp9	BOX_10	3793736	3793741	-	NA
yibBp9	BOX_35	3793757	3793762	-	NA
yibBp6	BOX_10	3793839	3793845	-	NA
yibBp6	BOX_35	3793861	3793867	-	NA
rfaDp3	BOX_10	3793853	3793858	+	NA
rfaDp3	BOX_35	3793836	3793841	+	NA
rfaDp1	BOX_10	3793926	3793931	+	NA
rfaDp1	BOX_35	3793903	3793908	+	NA
rfaDp4	BOX_10	3793958	3793962	+	NA
rfaDp4	BOX_35	3793936	3793941	+	NA
waaUp9	BOX_10	3799403	3799409	-	NA
waaUp9	BOX_35	3799429	3799435	-	NA
waaUp5	BOX_10	3799430	3799435	-	NA
waaUp5	BOX_35	3799455	3799460	-	NA
waaUp6	BOX_10	3799502	3799507	-	NA
waaUp6	BOX_35	3799528	3799533	-	NA
waaUp8	BOX_10	3799504	3799509	-	NA
waaUp8	BOX_35	3799528	3799533	-	NA
waaYp	BOX_10	3801145	3801150	-	NA
waaYp	BOX_35	3801172	3801177	-	NA
rirAp	BOX_10	3808245	3808250	-	NA
rirAp	BOX_35	3808269	3808274	-	NA
waaAp2	BOX_10	3808249	3808254	+	NA
waaAp2	BOX_35	3808225	3808230	+	NA
waaAp1	BOX_10	3808503	3808508	+	NA
waaAp1	BOX_35	3808479	3808484	+	NA
mutMp	BOX_10	3811185	3811190	-	NA
mutMp	BOX_35	3811204	3811209	-	NA
mutMp2	BOX_10	3811283	3811288	-	NA
mutMp2	BOX_35	3811299	3811304	-	NA
rpmBp	BOX_10	3812003	3812008	-	NA
dutp	BOX_10	3813836	3813841	+	NA
dutp	BOX_35	3813815	3813820	+	NA
pyrEp4	BOX_10	3815990	3815995	-	NA
pyrEp4	BOX_35	3816012	3816018	-	NA
pyrEp4	BOX_10	3815990	3815995	-	NA
pyrEp4	BOX_35	3816012	3816018	-	NA
ligBp1	BOX_10	3821262	3821267	-	NA
ligBp1	BOX_35	3821289	3821294	-	NA
ligBp4	BOX_10	3821295	3821300	-	NA
ligBp4	BOX_35	3821316	3821322	-	NA
gmkp	BOX_10	3821374	3821379	+	NA
gmkp	BOX_35	3821351	3821356	+	NA
rpoZp	BOX_10	3822064	3822069	+	NA
rpoZp	BOX_35	3822040	3822045	+	NA
gltSp3	BOX_10	3828697	3828702	-	NA
gltSp3	BOX_35	3828722	3828727	-	NA
xanPp5	BOX_10	3828809	3828815	+	NA
xanPp5	BOX_35	3828788	3828794	+	NA
xanPp4	BOX_10	3828909	3828914	+	NA
xanPp4	BOX_35	3828887	3828892	+	NA
yicJp	BOX_10	3836670	3836674	-	NA
yicJp	BOX_35	3836692	3836697	-	NA
setCp14	BOX_10	3836733	3836739	+	NA
setCp14	BOX_35	3836713	3836719	+	NA
setCp10	BOX_10	3836758	3836763	+	NA
setCp10	BOX_35	3836734	3836739	+	NA
setCp13	BOX_10	3836827	3836832	+	NA
setCp13	BOX_35	3836800	3836805	+	NA
setCp12	BOX_10	3836866	3836871	+	NA
setCp12	BOX_35	3836845	3836850	+	NA
yicNp4	BOX_10	3842514	3842520	-	NA
yicNp4	BOX_35	3842540	3842546	-	NA
yicOp11	BOX_10	3843825	3843831	-	NA
yicOp11	BOX_35	3843847	3843853	-	NA
yicOp5	BOX_10	3843885	3843891	-	NA
yicOp5	BOX_35	3843910	3843916	-	NA
adep6	BOX_10	3843890	3843895	+	NA
adep6	BOX_35	3843869	3843874	+	NA
adep	BOX_10	3843898	3843903	+	NA
adep	BOX_35	3843875	3843880	+	NA
adep7	BOX_10	3843919	3843924	+	NA
adep7	BOX_35	3843895	3843900	+	NA
yicOp10	BOX_10	3843927	3843932	-	NA
yicOp10	BOX_35	3843954	3843959	-	NA
yicOp1	BOX_10	3843963	3843969	-	NA
yicOp1	BOX_35	3843986	3843992	-	NA
uhpTp	BOX_10	3847205	3847210	-	NA
uhpTp	BOX_35	3847231	3847236	-	NA
ivbLp	BOX_10	3853034	3853039	-	NA
ivbLp	BOX_35	3853061	3853066	-	NA
istR-1p	BOX_10	3853199	3853204	-	NA
istR-1p	BOX_35	3853222	3853227	-	NA
istR-2p	BOX_10	3853265	3853270	-	NA
istR-2p	BOX_35	3853289	3853294	-	NA
tisBp	BOX_10	3853325	3853330	+	NA
emrDp	BOX_10	3853828	3853832	+	NA
emrDp	BOX_35	3853816	3853821	+	NA
yidFp5	BOX_10	3855795	3855800	-	NA
yidFp5	BOX_35	3855815	3855821	-	NA
yidEp6	BOX_10	3866397	3866402	-	NA
yidEp6	BOX_35	3866422	3866427	-	NA
ibpBp	BOX_10	3866983	3866987	-	NA
ibpBp	BOX_35	3866995	3867000	-	NA
ibpAp	BOX_10	3867528	3867533	-	NA
ibpAp	BOX_35	3867547	3867552	-	NA
yidQp	BOX_10	3867539	3867543	+	NA
yidQp	BOX_35	3867515	3867520	+	NA
cbrAp6	BOX_10	3869304	3869309	+	NA
cbrAp6	BOX_35	3869285	3869291	+	NA
yidRp2	BOX_10	3869418	3869423	-	NA
yidRp2	BOX_35	3869445	3869450	-	NA
yidBp3	BOX_10	3877620	3877625	-	NA
yidBp3	BOX_35	3877642	3877647	-	NA
gyrBp2	BOX_10	3880158	3880168	-	NA
gyrBp2	BOX_35	3880181	3880186	-	NA
gyrBp	BOX_10	3880158	3880163	-	NA
gyrBp	BOX_35	3880185	3880190	-	NA
dnaNp5	BOX_10	3882349	3882359	-	NA
dnaNp5	BOX_35	3882373	3882378	-	NA
dnaNp4	BOX_10	3882356	3882361	-	NA
dnaNp4	BOX_35	3882382	3882387	-	NA
dnaNp3	BOX_10	3882566	3882571	-	NA
dnaNp3	BOX_35	3882589	3882594	-	NA
dnaNp2	BOX_10	3882593	3882598	-	NA
dnaNp2	BOX_35	3882620	3882625	-	NA
dnaNp6	BOX_10	3882596	3882606	-	NA
dnaNp6	BOX_35	3882620	3882625	-	NA
dnaNp	BOX_10	3882739	3882749	-	NA
dnaNp	BOX_35	3882764	3882769	-	NA
dnaNp1	BOX_10	3882739	3882744	-	NA
dnaNp1	BOX_35	3882764	3882769	-	NA
dnaAp2	BOX_10	3883886	3883891	-	NA
dnaAp2	BOX_35	3883908	3883913	-	NA
dnaAp1	BOX_10	3883965	3883970	-	NA
tnaCp	BOX_10	3888397	3888402	+	NA
tnaCp	BOX_35	3888370	3888375	+	NA
yieEp	BOX_10	3893820	3893824	+	NA
yieEp	BOX_35	3893795	3893800	+	NA
yieHp4	BOX_10	3896645	3896651	+	NA
yieHp4	BOX_35	3896620	3896626	+	NA
yieHp6	BOX_10	3896751	3896756	+	NA
yieHp6	BOX_35	3896724	3896729	+	NA
cbrBp3	BOX_10	3897469	3897474	+	NA
cbrBp3	BOX_35	3897443	3897448	+	NA
yieKp3	BOX_10	3899405	3899410	-	NA
yieKp3	BOX_35	3899426	3899431	-	NA
yieKp2	BOX_10	3899470	3899476	-	NA
yieKp2	BOX_35	3899496	3899502	-	NA
phoUp2	BOX_10	3907653	3907658	-	NA
phoUp2	BOX_35	3907674	3907679	-	NA
phoUp	BOX_10	3907672	3907677	-	NA
phoUp	BOX_35	3907697	3907702	-	NA
pstBp	BOX_10	3908453	3908458	-	NA
pstBp	BOX_35	3908474	3908479	-	NA
pstBp1	BOX_10	3908561	3908566	-	NA
pstBp1	BOX_35	3908584	3908589	-	NA
pstBp2	BOX_10	3908561	3908571	-	NA
pstBp2	BOX_35	3908582	3908587	-	NA
pstCp	BOX_10	3910552	3910557	-	NA
pstCp	BOX_35	3910575	3910580	-	NA
pstCp2	BOX_10	3910554	3910564	-	NA
pstCp2	BOX_35	3910575	3910580	-	NA
pstSp2	BOX_10	3911576	3911586	-	NA
pstSp2	BOX_35	3911600	3911605	-	NA
pstSp	BOX_10	3911576	3911581	-	NA
pstSp	BOX_35	3911603	3911608	-	NA
glmSp2	BOX_10	3913817	3913824	-	NA
glmSp2	BOX_35	3913839	3913844	-	NA
glmUp1	BOX_10	3915228	3915233	-	NA
glmUp1	BOX_35	3915249	3915254	-	NA
glmUp2	BOX_10	3915330	3915335	-	NA
glmUp2	BOX_35	3915357	3915362	-	NA
atpCp1	BOX_10	3916065	3916070	-	NA
atpCp1	BOX_35	3916089	3916094	-	NA
atpIp	BOX_10	3922532	3922537	-	NA
atpIp	BOX_35	3922554	3922559	-	NA
rsmGp	BOX_10	3923760	3923765	-	NA
rsmGp	BOX_35	3923778	3923791	-	NA
mnmGp	BOX_10	3925687	3925692	-	NA
mnmGp	BOX_35	3925709	3925714	-	NA
asnCp	BOX_10	3927037	3927042	-	NA
asnCp	BOX_35	3927059	3927064	-	NA
asnAp	BOX_10	3927122	3927127	+	NA
asnAp	BOX_35	3927095	3927100	+	NA
ravAp	BOX_10	3931137	3931143	-	NA
rbsDp	BOX_10	3933309	3933314	+	NA
rbsDp	BOX_35	3933288	3933293	+	NA
hsrAp4	BOX_10	3940649	3940654	-	NA
hsrAp4	BOX_35	3940671	3940676	-	NA
hsrAp6	BOX_10	3940712	3940719	-	NA
hsrAp6	BOX_35	3940734	3940739	-	NA
rrsCp1	BOX_10	3941502	3941507	+	NA
rrsCp1	BOX_35	3941480	3941485	+	NA
rrsCp	BOX_10	3941509	3941514	+	NA
rrsCp	BOX_35	3941489	3941494	+	NA
rrsCp2	BOX_10	3941621	3941626	+	NA
rrsCp2	BOX_35	3941599	3941604	+	NA
aspTp1	BOX_10	3946768	3946775	+	NA
aspTp1	BOX_35	3946748	3946753	+	NA
trpTp2	BOX_10	3946768	3946775	+	NA
trpTp2	BOX_35	3946748	3946753	+	NA
hdfRp	BOX_10	3948028	3948038	-	NA
hdfRp	BOX_35	3948052	3948057	-	NA
hdfRp6	BOX_10	3948165	3948172	-	NA
hdfRp6	BOX_35	3948188	3948193	-	NA
yifBp9	BOX_10	3949990	3949997	-	NA
yifBp9	BOX_35	3950012	3950017	-	NA
yifBp8	BOX_10	3950033	3950038	-	NA
yifBp8	BOX_35	3950060	3950065	-	NA
yifBp6	BOX_10	3950181	3950186	-	NA
yifBp6	BOX_35	3950203	3950208	-	NA
ilvLp1	BOX_10	3950206	3950211	+	NA
ilvLp1	BOX_35	3950183	3950188	+	NA
ilvLp2	BOX_10	3950277	3950282	+	NA
ilvLp2	BOX_35	3950253	3950258	+	NA
ilvYp1	BOX_10	3957871	3957876	-	NA
ilvYp1	BOX_35	3957894	3957899	-	NA
ilvYp2	BOX_10	3957879	3957889	-	NA
ilvYp2	BOX_35	3957902	3957907	-	NA
ilvCp	BOX_10	3957904	3957909	+	NA
ilvCp	BOX_35	3957881	3957886	+	NA
repp	BOX_10	3960638	3960643	+	NA
repp	BOX_35	3960615	3960620	+	NA
trxAp1	BOX_10	3965609	3965614	+	NA
trxAp1	BOX_35	3965612	3965617	+	NA
trxAp3	BOX_10	3965638	3965643	+	NA
trxAp3	BOX_35	3965612	3965617	+	NA
trxAp2	BOX_10	3965679	3965684	+	NA
trxAp2	BOX_35	3965656	3965661	+	NA
rfep	BOX_10	3967784	3967789	+	NA
rfep	BOX_35	3967758	3967763	+	NA
argXp	BOX_10	3982348	3982353	+	NA
argXp	BOX_35	3982325	3982330	+	NA
aslBp	BOX_10	3982764	3982768	+	NA
aslBp	BOX_35	3982752	3982757	+	NA
glmZp	BOX_10	3986420	3986425	+	NA
glmZp	BOX_35	3986399	3986404	+	NA
cyaAp2	BOX_10	3990761	3990766	+	NA
cyaAp2	BOX_35	3990738	3990743	+	NA
cyaAp	BOX_10	3990987	3990992	+	NA
cyaAp	BOX_35	3990964	3990969	+	NA
cyaYp5	BOX_10	3994090	3994095	-	NA
cyaYp5	BOX_35	3994113	3994118	-	NA
yifLp	BOX_10	3994478	3994483	+	NA
yifLp	BOX_35	3994456	3994461	+	NA
uvrDp1	BOX_10	3997895	3997900	+	NA
uvrDp1	BOX_35	3997873	3997878	+	NA
corAp	BOX_10	4001180	4001185	+	NA
corAp	BOX_35	4001157	4001162	+	NA
yigFp5	BOX_10	4002847	4002852	-	NA
yigFp5	BOX_35	4002873	4002878	-	NA
yigFp4	BOX_10	4002880	4002885	-	NA
yigFp4	BOX_35	4002905	4002910	-	NA
rarDp1	BOX_10	4004232	4004237	-	NA
rarDp1	BOX_35	4004259	4004264	-	NA
rarDp2	BOX_10	4004237	4004242	-	NA
rarDp2	BOX_35	4004259	4004264	-	NA
rarDp4	BOX_10	4004246	4004251	-	NA
rarDp4	BOX_35	4004265	4004271	-	NA
rarDp3	BOX_10	4004263	4004268	-	NA
rarDp3	BOX_35	4004289	4004294	-	NA
rarDp5	BOX_10	4004303	4004308	-	NA
rarDp5	BOX_35	4004323	4004329	-	NA
pldAp	BOX_10	4004802	4004807	+	NA
pldAp	BOX_35	4004778	4004783	+	NA
recQp	BOX_10	4005823	4005828	+	NA
recQp	BOX_35	4005800	4005805	+	NA
recQp2	BOX_10	4005823	4005828	+	NA
recQp2	BOX_35	4005800	4005805	+	NA
recQp1	BOX_10	4005847	4005853	+	NA
recQp1	BOX_35	4005822	4005828	+	NA
rhtCp2	BOX_10	4007726	4007733	+	NA
rhtCp2	BOX_35	4007705	4007710	+	NA
pldBp6	BOX_10	4009003	4009008	+	NA
pldBp6	BOX_35	4008982	4008988	+	NA
pldBp4	BOX_10	4009012	4009017	+	NA
pldBp4	BOX_35	4008987	4008992	+	NA
yigMp3	BOX_10	4011038	4011045	+	NA
ysgAp	BOX_10	4016349	4016354	-	NA
ysgAp	BOX_35	4016376	4016381	-	NA
udpP	BOX_10	4016379	4016384	+	NA
udpP	BOX_35	4016352	4016357	+	NA
